Lower Super Output Area Code,Lower Super Output Area Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Employment Rank,Emplyment Decile,Education Skills And Training Rank,Education Skills And Training Decile,Health Deprivation And Disability Rank,Health Deprivation And Disability Decile,Crime Rank,Crime Decile,Barriers To Housing And Services Rank,Barriers To Housing And Services Decile,Living Environment Rank,Living Environment Decile,Income Deprivation Affecting Children Index Rank,Income Deprivation Affecting Children Index Decile,Income Deprivation Affecting Older People Index Rank,Income Deprivation Affecting Older People Index Decile,Children and Young People Sub-domain Rank,Children and Young People Sub-domain Decile,Adult Skills Sub-domain Rank,Adult Skills Sub-domain Decile,Geographical Barriers Sub-domain Rank,Geographical Barriers Sub-domain Decile,Wider Barriers Sub-domain Rank,Wider Barriers Sub-domain Decile,Indoors Sub-domain Rank,Indoors Sub-domain Decile,Outdoors Sub-domain Rank,Outdoors Sub-domain Decile,Total Population Mid 2012,Dependent Children Aged 0-15 Mid 2012,Population Aged 16-59 Mid 2012,Older population Aged 60 And Over Mid 2012,Working Age Population 18-59_64,Income Domain Numerator,Income Deprivation Affecting Children Index Numerator,Income Deprivation Affecting Older People Index Numerator,Employment Domain Numerator,Staying On In Education Post 16 Indicator,Entry To Higher Education Indicator,Combined Adult Skills And English Language Proficiency,Years Of Potential Life Lost Indicator,Comparative Illness And Disability Ratio Indicator,Acute Morbidity Indicator,Mood And Anxiety Disorders Indicator,Household Overcrowding Indicator,Housing Affordability Indicator,Housing In Poor Condition Indicator,Houses Without Central Heating Indicator,Air Quality Indicator,Road Traffic Accidents Indicator
E01000843,Camden 014A,15915.000,5.000,11383.000,4.000,21407.000,7.000,21342.000,7.000,24784.000,8.000,16990.000,6.000,15905.000,5.000,2288.000,1.000,7513.000,3.000,17177.000,6.000,13310.000,5.000,31815.000,10.000,29326.000,9.000,5717.000,2.000,4453.000,2.000,1871.000,1.000,1775.000,354.000,1152.000,269.000,1175.750,285.000,100.000,35.000,85.000,0.203,0.827,0.114,48.988,83.437,88.347,-0.296,0.386,1.319,0.362,0.035,1.508,1.055
E01000844,Camden 011B,19087.000,6.000,25807.000,8.000,25996.000,8.000,20151.000,7.000,25678.000,8.000,17816.000,6.000,18436.000,6.000,627.000,1.000,31632.000,10.000,14625.000,5.000,11525.000,4.000,32632.000,10.000,20574.000,7.000,9944.000,4.000,2059.000,1.000,1274.000,1.000,1823.000,310.000,1257.000,256.000,1283.250,105.000,40.000,75.000,0.305,0.845,0.071,53.714,84.152,79.597,-0.492,0.269,0.241,0.341,0.061,1.625,1.071,
E01000845,Camden 014B,21173.000,7.000,19616.000,6.000,27758.000,9.000,26050.000,8.000,24495.000,8.000,8197.000,3.000,23828.000,8.000,4997.000,2.000,15331.000,5.000,15656.000,5.000,19637.000,6.000,31886.000,10.000,28294.000,9.000,10622.000,4.000,9903.000,4.000,1670.000,1.000,1512.000,204.000,1046.000,262.000,1064.500,135.000,30.000,40.000,55.000,0.166,0.792,0.112,49.654,88.260,83.687,-0.192,0.231,0.253,0.232,0.035,1.508,1.118
E01000856,Camden 019A,4833.000,2.000,4747.000,2.000,7428.000,3.000,19883.000,7.000,5388.000,2.000,525.000,1.000,9835.000,3.000,3240.000,1.000,3088.000,1.000,3689.000,2.000,19120.000,6.000,19268.000,6.000,31008.000,10.000,3172.000,1.000,12180.000,4.000,192.000,1.000,1676.000,354.000,1138.000,184.000,1127.750,445.000,140.000,65.000,190.000,0.177,0.886,0.272,58.453,149.392,153.366,0.806,0.366,3.599,0.276,0.021,1.653,2.382
E01000857,Camden 018A,17464.000,6.000,11847.000,4.000,15754.000,5.000,30724.000,10.000,18940.000,6.000,17470.000,6.000,24372.000,8.000,6148.000,2.000,13956.000,5.000,10660.000,4.000,28018.000,9.000,31676.000,10.000,31897.000,10.000,9759.000,3.000,12376.000,4.000,1619.000,1.000,1496.000,286.000,920.000,290.000,944.750,235.000,50.000,60.000,95.000,0.221,0.846,0.120,54.222,103.365,92.216,0.032,0.233,0.646,0.223,0.029,1.508,1.139
E01000858,Camden 018B,2960.000,1.000,1758.000,1.000,3685.000,2.000,18609.000,6.000,8245.000,3.000,63.000,1.000,7235.000,3.000,7305.000,3.000,313.000,1.000,1185.000,1.000,20644.000,7.000,15774.000,5.000,23736.000,8.000,3122.000,1.000,21901.000,7.000,553.000,1.000,1933.000,372.000,1361.000,200.000,1341.000,680.000,210.000,95.000,300.000,0.058,0.886,0.302,52.622,182.855,117.661,0.539,0.360,3.690,0.142,0.027,1.576,1.762
E01000860,Camden 018D,12856.000,4.000,10238.000,4.000,14557.000,5.000,26193.000,8.000,16770.000,6.000,8653.000,3.000,11863.000,4.000,4331.000,2.000,22819.000,7.000,3468.000,2.000,20539.000,7.000,30878.000,10.000,31185.000,10.000,3842.000,2.000,8520.000,3.000,1678.000,1.000,1287.000,175.000,692.000,420.000,741.750,225.000,15.000,155.000,80.000,0.196,0.811,0.145,63.969,94.048,94.911,0.040,0.460,1.899,0.292,0.028,1.530,1.071
E01000861,Camden 019B,6012.000,2.000,8482.000,3.000,10186.000,4.000,24822.000,8.000,12260.000,4.000,430.000,1.000,11802.000,4.000,106.000,1.000,4664.000,2.000,5172.000,2.000,20219.000,7.000,28224.000,9.000,31602.000,10.000,3764.000,2.000,1832.000,1.000,40.000,1.000,1496.000,181.000,1145.000,170.000,1149.750,295.000,65.000,55.000,160.000,0.178,0.867,0.187,63.855,137.085,106.295,-0.221,0.437,2.177,0.283,0.084,1.767,3.134
E01000863,Camden 021A,5313.000,2.000,8666.000,3.000,9050.000,3.000,16507.000,6.000,6304.000,2.000,476.000,1.000,13099.000,4.000,553.000,1.000,7499.000,3.000,5887.000,2.000,8364.000,3.000,30409.000,10.000,27958.000,9.000,4811.000,2.000,3648.000,2.000,133.000,1.000,1464.000,156.000,1145.000,163.000,1174.000,285.000,45.000,50.000,175.000,0.400,0.864,0.155,76.971,134.003,125.242,0.408,0.393,1.855,0.321,0.047,1.620,2.737
E01000867,Camden 015C,4491.000,2.000,3574.000,2.000,6074.000,2.000,12065.000,4.000,5501.000,2.000,6280.000,2.000,7335.000,3.000,1899.000,1.000,2618.000,1.000,1390.000,1.000,7073.000,3.000,20022.000,7.000,27978.000,9.000,2627.000,1.000,7189.000,3.000,287.000,1.000,1433.000,291.000,938.000,204.000,962.500,420.000,120.000,95.000,180.000,0.298,0.882,0.265,72.319,164.708,127.425,0.316,0.402,3.753,0.301,0.031,1.673,2.056
