Row Labels,Sum of Pollution Removal Per Year In Grams,Population,PR/Pop
Belsize,7938.09,12299,0.645425644
Bloomsbury,15138.7,11095,1.364461469
Camden Square,11646.88,7557,1.541204182
Camden Town,4273.94,6389,0.668952888
Fortune Green,17243.05,11410,1.511222612
Frognal,13069.66,7725,1.691865372
Gospel Oak,21066.99,11616,1.813618285
Hampstead Town,10524.14,8016,1.312891717
Haverstock,18418.05,12038,1.529992524
Highgate,27736.11,10226,2.712312732
Holborn and Covent Garden,15071.19,10361,1.454607663
Kentish Town North,11359.23,7156,1.587371437
Kentish Town South,18561.36,10421,1.781149602
Kilburn,17125.29,12061,1.419889727
Kings Cross,13258.96,11462,1.156775432
Primrose Hill,13983.42,12543,1.114838555
Regents Park,12588.15,11926,1.05552155
South Hampstead,7653.18,12163,0.629218121
St Pancras and Somers Town,19946.78,12512,1.594211957
West Hampstead,10260.36,11162,0.919222362
